fld_num,fld_names,lift,precision,recall,tot_lift,tot_recall,tot_prec
27,q_rh_close_20M^q_rl_close_30M^prpsl_low_15M^q_rh_high_10M^prpsh_high_90M^q_rl_high_10M^q_sma_high_20M_pdif,0.80494,0.83264,0.03071,0.71927,0.00551,0.88285
8,prpsh_high_120M^q_rh_close_5M^q_rh_close_20M^q_sma_low_10M_pdif^q_rl_close_20M^prpsh_high_300M^q_rh_high_20M,0.80302,0.83072,0.0409,0.72357,0.0074,0.88715
8,prpsh_high_120M^q_rl_low_10M^q_sma_low_10M_pdif^q_slope_close_7M^q_slope_close_10M^q_rh_low_5M^q_rl_high_20M,0.80563,0.83333,0.02469,0.71142,0.00439,0.875
4,prpsh_high_20M^q_sma_high_15M_pdif^q_rh_high_20M^q_sma_close_30M_pdif^q_slope_close_10M^q_rh_low_30M^q_rl_close_20M,0.80563,0.83333,0.02238,0.72148,0.00402,0.88506
46,q_rl_low_30M^prpsh_high_10M^q_rh_close_30M^q_rh_low_10M^q_sma_low_7M_pdif^q_slope_close_5M^q_sma_volume_10M_pdif,0.8042,0.8319,0.02978,0.69418,0.0052,0.85776
42,q_rl_high_20M^prpsh_high_15M^q_rh_close_20M^prpsh_high_180M^q_sma_high_20M_pdif^q_sma_high_15M_pdif^q_rh_high_30M,0.8042,0.8319,0.02978,0.71573,0.00533,0.87931
44,q_rl_low_10M^q_rl_high_10M^prpsh_high_300M^q_rl_high_20M^q_rh_high_20M^q_rh_close_10M^q_rh_high_10M,0.80243,0.83013,0.03997,0.6986,0.00703,0.86218
12,prpsh_high_360M^q_sma_volume_10M_pdif^q_rh_low_30M^prpsh_high_20M^q_rl_close_10M^q_rl_high_30M^q_rl_high_20M,0.80412,0.83182,0.02824,0.73188,0.00515,0.89545
3,prpsh_high_15M^q_rh_close_5M^prpsl_low_30M^q_rh_high_30M^q_rl_close_30M^q_sma_close_15M_pdif^q_rl_low_10M,0.80473,0.83243,0.02377,0.73913,0.00436,0.9027
3,prpsh_high_15M^q_sma_volume_7M_pdif^q_rh_close_10M^q_slope_close_10M^q_rh_high_30M^q_rl_high_20M^q_sma_high_15M_pdif,0.80393,0.83163,0.02515,0.71398,0.00449,0.87755
28,q_rh_close_30M^q_rh_close_30M^prpsl_low_20M^q_rh_low_5M^q_sma_close_20M_pdif^q_rl_high_30M^q_rh_high_30M,0.80209,0.82979,0.03611,0.69458,0.00632,0.85816
7,prpsh_high_90M^q_rh_low_20M^q_rl_low_30M^q_rl_low_20M^prpsl_low_10M^q_rh_close_10M^q_sma_low_15M_pdif,0.80288,0.83058,0.03102,0.70419,0.00549,0.86777
32,q_rh_high_30M^q_rh_low_20M^prpsl_low_60M^q_rh_close_20M^q_sma_close_15M_pdif^prpsl_low_90M^q_rl_high_20M,0.80335,0.83105,0.02809,0.71314,0.00502,0.87671
